19.5 -3 -3.68841e-06 -3 6.6822e-09
19.4 -3 -4.01728e-06 -3 6.94875e-09
19.3 -2.99999 -4.37516e-06 -2.99999 7.23549e-09
19.2 -2.99999 -4.76458e-06 -2.99999 7.54416e-09
19.1 -2.99999 -5.18828e-06 -2.99999 7.87663e-09
19 -2.99999 -5.64924e-06 -2.99999 8.23495e-09
18.9 -2.99999 -6.1507e-06 -2.99999 8.62134e-09
18.8 -2.99999 -6.69617e-06 -2.99999 9.03818e-09
18.7 -2.99999 -7.28947e-06 -2.99999 9.48808e-09
18.6 -2.99999 -7.93472e-06 -2.99999 9.97386e-09
18.5 -2.99999 -8.63643e-06 -2.99999 1.04986e-08
18.4 -2.99999 -9.39946e-06 -2.99999 1.10655e-08
18.3 -2.99999 -1.02291e-05 -2.99999 1.16783e-08
18.2 -2.99999 -1.11311e-05 -2.99999 1.23408e-08
18.1 -2.99999 -1.21116e-05 -2.99999 1.30572e-08
18 -2.99998 -1.31775e-05 -2.99998 1.38321e-08
17.9 -2.99998 -1.4336e-05 -2.99998 1.46704e-08
17.8 -2.99998 -1.5595e-05 -2.99998 1.55775e-08
17.7 -2.99998 -1.69632e-05 -2.99998 1.65591e-08
17.6 -2.99998 -1.84499e-05 -2.99998 1.76214e-08
17.5 -2.99998 -2.00651e-05 -2.99998 1.87714e-08
17.4 -2.99997 -2.18199e-05 -2.99997 2.00162e-08
17.3 -2.99997 -2.37261e-05 -2.99997 2.13638e-08
17.2 -2.99997 -2.57965e-05 -2.99997 2.28228e-08
17.1 -2.99997 -2.80452e-05 -2.99997 2.44025e-08
17 -2.99996 -3.0487e-05 -2.99996 2.61128e-08
16.9 -2.99996 -3.31385e-05 -2.99996 2.79647e-08
16.8 -2.99996 -3.60173e-05 -2.99996 2.99698e-08
16.7 -2.99995 -3.91425e-05 -2.99995 3.21408e-08
16.6 -2.99995 -4.25349e-05 -2.99995 3.44914e-08
16.5 -2.99995 -4.6217e-05 -2.99994 3.70363e-08
16.4 -2.99994 -5.02129e-05 -2.99994 3.97916e-08
16.3 -2.99993 -5.45491e-05 -2.99993 4.27744e-08
16.2 -2.99993 -5.92539e-05 -2.99993 4.60035e-08
16.1 -2.99992 -6.4358e-05 -2.99992 4.94988e-08
16 -2.99992 -6.98949e-05 -2.99992 5.32822e-08
15.9 -2.99991 -7.59003e-05 -2.99991 5.73769e-08
15.8 -2.9999 -8.24133e-05 -2.9999 6.18083e-08
15.7 -2.99989 -8.94759e-05 -2.99989 6.66037e-08
15.6 -2.99988 -9.71335e-05 -2.99988 7.17923e-08
15.5 -2.99987 -0.000105435 -2.99987 7.7406e-08
15.4 -2.99986 -0.000114434 -2.99986 8.34788e-08
15.3 -2.99985 -0.000124188 -2.99985 9.00477e-08
15.2 -2.99984 -0.000134758 -2.99984 9.71522e-08
15.1 -2.99982 -0.000146211 -2.99982 1.04835e-07
