0 0.785398 0.00353553 0.00353553
0.005 0.777544 0.00704319 0.00709873
0.01 0.76969 0.0105228 0.0106894
0.015 0.761836 0.013974 0.0143072
0.02 0.753982 0.0173967 0.0179521
0.025 0.746128 0.0207908 0.0216237
0.03 0.738274 0.0241558 0.0253218
0.035 0.73042 0.0274917 0.0290463
0.04 0.722566 0.0307983 0.0327968
0.045 0.714712 0.0340753 0.0365733
0.05 0.706858 0.0373225 0.0403753
0.055 0.699004 0.0405398 0.0442027
0.06 0.69115 0.0437269 0.0480553
0.065 0.683296 0.0468837 0.0519327
0.07 0.675442 0.0500099 0.0558349
0.075 0.667588 0.0531054 0.0597615
0.08 0.659734 0.0561699 0.0637123
0.085 0.65188 0.0592033 0.067687
0.09 0.644026 0.0622054 0.0716854
0.095 0.636173 0.065176 0.0757073
0.1 0.628319 0.068115 0.0797524
0.105 0.620465 0.071022 0.0838204
0.11 0.612611 0.073897 0.0879112
0.115 0.604757 0.0767399 0.0920244
0.12 0.596903 0.0795503 0.0961598
0.125 0.589049 0.0823281 0.100317
0.13 0.581195 0.0850732 0.104496
0.135 0.573341 0.0877854 0.108697
0.14 0.565487 0.0904646 0.112918
0.145 0.557633 0.0931105 0.117161
0.15 0.549779 0.095723 0.121424
0.155 0.541925 0.0983019 0.125708
0.16 0.534071 0.100847 0.130011
0.165 0.526217 0.103358 0.134335
0.17 0.518363 0.105836 0.138678
0.175 0.510509 0.108279 0.143041
0.18 0.502655 0.110688 0.147422
0.185 0.494801 0.113062 0.151822
0.19 0.486947 0.115402 0.156241
0.195 0.479093 0.117706 0.160678
0.2 0.471239 0.119976 0.165133
0.205 0.463385 0.122211 0.169606
0.21 0.455531 0.124411 0.174096
0.215 0.447677 0.126575 0.178603
0.22 0.439823 0.128704 0.183128
0.225 0.431969 0.130798 0.187668
0.23 0.424115 0.132855 0.192225
0.235 0.416261 0.134877 0.196798
0.24 0.408407 0.136863 0.201387
0.245 0.400553 0.138812 0.205991
0.25 0.392699 0.140726 0.210611
0.255 0.384845 0.142603 0.215245
0.26 0.376991 0.144443 0.219894
0.265 0.369137 0.146247 0.224557
0.27 0.361283 0.148015 0.229234
0.275 0.353429 0.149745 0.233925
0.28 0.345575 0.151439 0.23863
0.285 0.337721 0.153096 0.243347
0.29 0.329867 0.154715 0.248078
0.295 0.322013 0.156298 0.252821
0.3 0.314159 0.157843 0.257576
0.305 0.306305 0.15935 0.262343
0.31 0.298451 0.160821 0.267122
0.315 0.290597 0.162253 0.271913
0.32 0.282743 0.163648 0.276714
0.325 0.274889 0.165005 0.281526
0.33 0.267035 0.166325 0.286349
0.335 0.259181 0.167606 0.291182
0.34 0.251327 0.16885 0.296025
0.345 0.243473 0.170055 0.300878
0.35 0.235619 0.171222 0.305739
0.355 0.227765 0.172351 0.31061
0.36 0.219911 0.173442 0.31549
0.365 0.212058 0.174494 0.320378
0.37 0.204204 0.175508 0.325274
0.375 0.19635 0.176484 0.330178
0.38 0.188496 0.177421 0.335089
0.385 0.180642 0.178319 0.340008
0.39 0.172788 0.179179 0.344933
0.395 0.164934 0.18 0.349866
0.4 0.15708 0.180782 0.354804
0.405 0.149226 0.181525 0.359749
0.41 0.141372 0.18223 0.364699
0.415 0.133518 0.182895 0.369654
0.42 0.125664 0.183522 0.374615
0.425 0.11781 0.18411 0.37958
0.43 0.109956 0.184658 0.38455
0.435 0.102102 0.185168 0.389524
0.44 0.0942478 0.185638 0.394502
0.445 0.0863938 0.18607 0.399483
0.45 0.0785398 0.186462 0.404468
0.455 0.0706858 0.186815 0.409455
0.46 0.0628319 0.187129 0.414445
0.465 0.0549779 0.187404 0.419438
0.47 0.0471239 0.187639 0.424432
0.475 0.0392699 0.187836 0.429428
0.48 0.0314159 0.187993 0.434426
0.485 0.0235619 0.188111 0.439424
0.49 0.015708 0.188189 0.444424
0.495 0.00785398 0.188228 0.449424
0.5 0 0.188228 0.454424
