-4 -4 0
-4 -3.96875 0.249023
-4 -3.9375 0.496094
-4 -3.90625 0.741211
-4 -3.875 0.984375
-4 -3.84375 1.22559
-4 -3.8125 1.46484
-4 -3.78125 1.70215
-4 -3.75 1.9375
-4 -3.71875 2.1709
-4 -3.6875 2.40234
-4 -3.65625 2.63184
-4 -3.625 2.85938
-4 -3.59375 3.08496
-4 -3.5625 3.30859
-4 -3.53125 3.53027
-4 -3.5 3.75
-4 -3.46875 3.96777
-4 -3.4375 4.18359
-4 -3.40625 4.39746
-4 -3.375 4.60938
-4 -3.34375 4.81934
-4 -3.3125 5.02734
-4 -3.28125 5.2334
-4 -3.25 5.4375
-4 -3.21875 5.63965
-4 -3.1875 5.83984
-4 -3.15625 6.03809
-4 -3.125 6.23438
-4 -3.09375 6.42871
-4 -3.0625 6.62109
-4 -3.03125 6.81152
-4 -3 7
-4 -2.96875 7.18652
-4 -2.9375 7.37109
-4 -2.90625 7.55371
-4 -2.875 7.73438
-4 -2.84375 7.91309
-4 -2.8125 8.08984
-4 -2.78125 8.26465
-4 -2.75 8.4375
-4 -2.71875 8.6084
-4 -2.6875 8.77734
-4 -2.65625 8.94434
-4 -2.625 9.10938
-4 -2.59375 9.27246
-4 -2.5625 9.43359
-4 -2.53125 9.59277
-4 -2.5 9.75
-4 -2.46875 9.90527
-4 -2.4375 10.0586
-4 -2.40625 10.21
-4 -2.375 10.3594
-4 -2.34375 10.5068
-4 -2.3125 10.6523
-4 -2.28125 10.7959
-4 -2.25 10.9375
-4 -2.21875 11.0771
-4 -2.1875 11.2148
-4 -2.15625 11.3506
-4 -2.125 11.4844
-4 -2.09375 11.6162
-4 -2.0625 11.7461
-4 -2.03125 11.874
-4 -2 12
-4 -1.96875 12.124
-4 -1.9375 12.2461
-4 -1.90625 12.3662
-4 -1.875 12.4844
-4 -1.84375 12.6006
-4 -1.8125 12.7148
-4 -1.78125 12.8271
-4 -1.75 12.9375
-4 -1.71875 13.0459
-4 -1.6875 13.1523
-4 -1.65625 13.2568
-4 -1.625 13.3594
-4 -1.59375 13.46
-4 -1.5625 13.5586
-4 -1.53125 13.6553
-4 -1.5 13.75
-4 -1.46875 13.8428
-4 -1.4375 13.9336
-4 -1.40625 14.0225
-4 -1.375 14.1094
-4 -1.34375 14.1943
-4 -1.3125 14.2773
-4 -1.28125 14.3584
-4 -1.25 14.4375
-4 -1.21875 14.5146
-4 -1.1875 14.5898
-4 -1.15625 14.6631
-4 -1.125 14.7344
-4 -1.09375 14.8037
-4 -1.0625 14.8711
-4 -1.03125 14.9365
-4 -1 15
-4 -0.96875 15.0615
-4 -0.9375 15.1211
-4 -0.90625 15.1787
-4 -0.875 15.2344
-4 -0.84375 15.2881
-4 -0.8125 15.3398
-4 -0.78125 15.3896
-4 -0.75 15.4375
-4 -0.71875 15.4834
-4 -0.6875 15.5273
-4 -0.65625 15.5693
-4 -0.625 15.6094
-4 -0.59375 15.6475
-4 -0.5625 15.6836
-4 -0.53125 15.7178
-4 -0.5 15.75
-4 -0.46875 15.7803
-4 -0.4375 15.8086
-4 -0.40625 15.835
-4 -0.375 15.8594
-4 -0.34375 15.8818
-4 -0.3125 15.9023
-4 -0.28125 15.9209
-4 -0.25 15.9375
-4 -0.21875 15.9521
-4 -0.1875 15.9648
-4 -0.15625 15.9756
-4 -0.125 15.9844
-4 -0.09375 15.9912
-4 -0.0625 15.9961
-4 -0.03125 15.999
-4 0 16
-4 0.03125 15.999
-4 0.0625 15.9961
-4 0.09375 15.9912
-4 0.125 15.9844
-4 0.15625 15.9756
-4 0.1875 15.9648
-4 0.21875 15.9521
-4 0.25 15.9375
-4 0.28125 15.9209
-4 0.3125 15.9023
-4 0.34375 15.8818
-4 0.375 15.8594
-4 0.40625 15.835
-4 0.4375 15.8086
-4 0.46875 15.7803
-4 0.5 15.75
-4 0.53125 15.7178
-4 0.5625 15.6836
-4 0.59375 15.6475
-4 0.625 15.6094
-4 0.65625 15.5693
-4 0.6875 15.5273
-4 0.71875 15.4834
-4 0.75 15.4375
-4 0.78125 15.3896
-4 0.8125 15.3398
-4 0.84375 15.2881
-4 0.875 15.2344
-4 0.90625 15.1787
-4 0.9375 15.1211
-4 0.96875 15.0615
-4 1 15
-4 1.03125 14.9365
-4 1.0625 14.8711
-4 1.09375 14.8037
-4 1.125 14.7344
-4 1.15625 14.6631
-4 1.1875 14.5898
-4 1.21875 14.5146
-4 1.25 14.4375
-4 1.28125 14.3584
-4 1.3125 14.2773
-4 1.34375 14.1943
-4 1.375 14.1094
-4 1.40625 14.0225
-4 1.4375 13.9336
-4 1.46875 13.8428
-4 1.5 13.75
-4 1.53125 13.6553
-4 1.5625 13.5586
-4 1.59375 13.46
-4 1.625 13.3594
-4 1.65625 13.2568
-4 1.6875 13.1523
-4 1.71875 13.0459
-4 1.75 12.9375
-4 1.78125 12.8271
-4 1.8125 12.7148
-4 1.84375 12.6006
-4 1.875 12.4844
-4 1.90625 12.3662
-4 1.9375 12.2461
-4 1.96875 12.124
-4 2 12
-4 2.03125 11.874
-4 2.0625 11.7461
-4 2.09375 11.6162
-4 2.125 11.4844
-4 2.15625 11.3506
-4 2.1875 11.2148
-4 2.21875 11.0771
-4 2.25 10.9375
-4 2.28125 10.7959
-4 2.3125 10.6523
-4 2.34375 10.5068
-4 2.375 10.3594
-4 2.40625 10.21
-4 2.4375 10.0586
-4 2.46875 9.90527
-4 2.5 9.75
-4 2.53125 9.59277
-4 2.5625 9.43359
-4 2.59375 9.27246
-4 2.625 9.10938
